id| userId| amount| date| time| remark
1| 1| 25| 2023-12-08| 01:20:49.148925400| Top up
2| 1| 35| 2023-12-08| 01:20:53.435846900| Top up
3| 1| 35| 2023-12-08| 01:20:57.091281300| Top up
4| 1| 35| 2023-12-08| 01:20:59.697531800| Top up
5| 1| -13.5| 2023-12-08| 01:24:19.159862200| Food
6| 1| -17.4| 2023-12-08| 01:25:14.130397600| Food
7| 1| -12.0| 2023-12-08| 01:45:28.025363600| Food
8| 1| -47.0| 2023-12-08| 01:46:31.411519800| Food
9| 1| -20.0| 2023-12-08| 01:47:32.180991200| Food
10| 1| -15.15| 2023-12-08| 01:48:30.214264400| Food
11| 1| 25| 2023-12-08| 01:48:55.570494300| Top up
12| 1| 25| 2023-12-08| 01:48:57.797714700| Top up
13| 1| 25| 2023-12-08| 01:48:59.272270800| Top up
14| 1| 25| 2023-12-08| 01:49:00.713699800| Top up
15| 1| -27.3| 2023-12-08| 01:49:28.111035100| Food
16| 1| -12.0| 2023-12-08| 01:49:40.398484200| Food
17| 1| -4.5| 2023-12-08| 01:49:48.806193200| Food
18| 1| -12.0| 2023-12-08| 01:50:01.925662500| Food
19| 1| -21.0| 2023-12-08| 01:50:38.610040600| Food
20| 1| -9.0| 2023-12-08| 01:50:44.877094400| Food
21| 1| -9.0| 2023-12-08| 01:51:17.153859200| Food
22| 1| -5.5| 2023-12-08| 01:51:20.413483600| Food
23| 1| 25| 2023-12-08| 01:51:29.533291600| Top up
24| 1| 25| 2023-12-08| 01:51:31.186520500| Top up
25| 1| 25| 2023-12-08| 01:51:32.013369700| Top up
26| 1| -5.5| 2023-12-08| 01:51:35.306314300| Food
27| 1| -12.0| 2023-12-08| 02:15:09.853029600| Food
28| 1| -12.0| 2023-12-08| 02:15:54.460042900| Food
29| 1| -7.5| 2023-12-08| 02:16:12.587032600| Food
30| 1| -9.0| 2023-12-08| 02:26:46.314035100| Food
31| 1| 15.15| 2023-12-08| 02:26:59.002088900| Refund for [orderid: 1]
32| 1| -5.5| 2023-12-08| 02:27:23.462617800| Food
33| 1| 25| 2023-12-08| 02:28:17.615516200| Top up
34| 1| -4.5| 2023-12-08| 02:30:41.712606900| Food
35| 1| -4.5| 2023-12-08| 02:38:03.087866600| Food
36| 7| 25| 2023-12-08| 03:04:59.871809200| Top up
37| 7| -1| 2023-12-08| 03:05:03.410919700| Top up
38| 7| -10| 2023-12-08| 03:05:07.578152300| Top up
39| 1| 40| 2023-12-08| 03:15:19.091279400| Top up
40| 1| 40| 2023-12-08| 03:15:20.863714600| Top up
41| 1| 40| 2023-12-08| 03:15:23.215111200| Top up
42| 1| 40| 2023-12-08| 03:15:24.339457500| Top up
43| 1| 40| 2023-12-08| 03:15:25.983096800| Top up
44| 1| -150| 2023-12-08| 03:16:13.867097| Top up
45| 1| 20| 2023-12-08| 03:16:21.399090100| Top up
46| 1| 20| 2023-12-08| 03:16:22.240811400| Top up
47| 1| 20| 2023-12-08| 03:16:22.912163| Top up
48| 1| 20| 2023-12-08| 03:16:23.318495100| Top up
49| 1| 20| 2023-12-08| 03:16:23.486902200| Top up
50| 1| 10| 2023-12-08| 03:16:24.686883800| Top up
51| 1| 10| 2023-12-08| 03:16:25.030286100| Top up
52| 1| 10| 2023-12-08| 03:16:25.231222500| Top up
53| 1| 30| 2023-12-08| 03:16:25.926898600| Top up
54| 1| 30| 2023-12-08| 03:16:26.582378600| Top up
55| 1| 40| 2023-12-08| 03:16:27.430714700| Top up
56| 1| 40| 2023-12-08| 03:16:27.871314800| Top up
57| 1| 40| 2023-12-08| 03:16:28.039323700| Top up
58| 1| 40| 2023-12-08| 03:16:28.198746800| Top up
59| 1| 40| 2023-12-08| 03:16:28.383108900| Top up
60| 1| -399| 2023-12-08| 03:22:16.707050200| Top up
61| 1| 30| 2023-12-08| 03:22:20.449844700| Top up
62| 1| 40| 2023-12-08| 03:22:21.045388400| Top up
63| 1| 20| 2023-12-08| 03:22:22.354284600| Top up
64| 1| 10| 2023-12-08| 03:22:22.602475800| Top up
65| 1| -399| 2023-12-08| 03:22:23.225747300| Top up
66| 1| 20| 2023-12-08| 03:22:25.970237| Top up
67| 1| 20| 2023-12-08| 03:22:26.315254600| Top up
68| 1| 20| 2023-12-08| 03:22:26.459718400| Top up
69| 1| 20| 2023-12-08| 03:22:26.610076| Top up
70| 1| 10| 2023-12-08| 03:22:26.884966100| Top up
71| 1| 40| 2023-12-08| 03:22:27.234520400| Top up
72| 1| 40| 2023-12-08| 03:22:28.418446200| Top up
73| 1| 30| 2023-12-08| 03:22:29.194436900| Top up
74| 1| 10| 2023-12-08| 03:22:31.585864100| Top up
